year,district,dem_votes,rep_votes,total_two_party,dem_share,margin,winner,contested
2024,1,35739,0,35739,1.000000,1.000000,D_uncontested,False
2024,2,32142,0,32142,1.000000,1.000000,D_uncontested,False
2024,3,28838,0,28838,1.000000,1.000000,D_uncontested,False
2024,4,39473,29317,68790,0.573819,0.147638,D,True
2024,5,32395,0,32395,1.000000,1.000000,D_uncontested,False
2024,6,23315,15363,38678,0.602797,0.205595,D,True
2024,7,44243,0,44243,1.000000,1.000000,D_uncontested,False
2024,8,36054,19829,55883,0.645169,0.290339,D,True
2024,9,28020,0,28020,1.000000,1.000000,D_uncontested,False
2024,10,26752,25175,51927,0.515185,0.030370,D,True
2024,11,33327,30965,64292,0.518369,0.036739,D,True
2024,12,14894,40109,55003,0.270785,-0.458430,R,True
2024,13,34532,10625,45157,0.764710,0.529420,D,True
2024,14,27198,19604,46802,0.581129,0.162258,D,True
2024,15,27121,22599,49720,0.545475,0.090949,D,True
2024,16,37653,24375,62028,0.607032,0.214065,D,True
2024,17,28643,34403,63046,0.454319,-0.091362,R,True
2024,18,50276,5991,56267,0.893526,0.787051,D,True
2024,19,36778,27718,64496,0.570237,0.140474,D,True
2024,20,27309,4678,31987,0.853753,0.707506,D,True
2024,21,42376,11116,53492,0.792193,0.584386,D,True
2024,22,35522,5617,41139,0.863463,0.726926,D,True
2024,23,33941,30241,64182,0.528824,0.057649,D,True
2024,24,27744,10526,38270,0.724954,0.449909,D,True
2024,25,34264,6517,40781,0.840195,0.680390,D,True
2024,26,42296,18926,61222,0.690863,0.381726,D,True
2024,27,39483,31331,70814,0.557559,0.115118,D,True
2024,28,35671,28121,63792,0.559177,0.118353,D,True
2024,29,24639,32927,57566,0.428013,-0.143974,R,True
2024,30,19486,42863,62349,0.312531,-0.374938,R,True
2024,31,30311,34149,64460,0.470230,-0.059541,R,True
2024,32,23193,31050,54243,0.427576,-0.144848,R,True
2024,33,37146,0,37146,1.000000,1.000000,D_uncontested,False
2024,34,32674,28763,61437,0.531829,0.063659,D,True
2024,35,33375,36961,70336,0.474508,-0.050984,R,True
2024,36,27060,29757,56817,0.476266,-0.047468,R,True
2024,37,0,43003,43003,0.000000,-1.000000,R_uncontested,False
2024,38,34877,0,34877,1.000000,1.000000,D_uncontested,False
2024,39,22541,32191,54732,0.411843,-0.176314,R,True
2024,40,13569,45615,59184,0.229268,-0.541464,R,True
2024,41,31027,19863,50890,0.609688,0.219375,D,True
2024,42,28382,0,28382,1.000000,1.000000,D_uncontested,False
2024,43,26881,17661,44542,0.603498,0.206996,D,True
2024,44,27818,37915,65733,0.423197,-0.153606,R,True
2024,45,23138,37565,60703,0.381167,-0.237665,R,True
2024,46,19235,37819,57054,0.337137,-0.325727,R,True
2024,47,18470,29643,48113,0.383888,-0.232224,R,True
2024,48,20182,44717,64899,0.310976,-0.378049,R,True
2024,49,22601,24871,47472,0.476091,-0.047818,R,True
2024,50,18098,36149,54247,0.333622,-0.332756,R,True
2024,51,14203,37433,51636,0.275060,-0.449880,R,True
2024,52,25755,34378,60133,0.428301,-0.143399,R,True
2024,53,29205,22695,51900,0.562717,0.125434,D,True
2024,54,20685,39271,59956,0.345003,-0.309994,R,True
2024,55,19583,51698,71281,0.274730,-0.450541,R,True
2024,56,23510,39280,62790,0.374423,-0.251155,R,True
2024,57,24468,40994,65462,0.373774,-0.252452,R,True
2024,58,28937,20938,49875,0.580190,0.160381,D,True
2024,59,26294,34950,61244,0.429332,-0.141336,R,True
2024,60,31492,37345,68837,0.457487,-0.085027,R,True
2024,61,27698,44808,72506,0.382010,-0.235980,R,True
2024,62,24251,42134,66385,0.365308,-0.269383,R,True
2024,63,13912,42842,56754,0.245128,-0.509744,R,True
2024,64,23695,30439,54134,0.437710,-0.124580,R,True
2024,65,0,44110,44110,0.000000,-1.000000,R_uncontested,False
2024,66,22770,43051,65821,0.345938,-0.308124,R,True
2024,67,0,47103,47103,0.000000,-1.000000,R_uncontested,False
2024,68,24775,35448,60223,0.411388,-0.177225,R,True
2024,69,14048,46445,60493,0.232225,-0.535550,R,True
2024,70,24030,38455,62485,0.384572,-0.230855,R,True
2024,71,16485,39278,55763,0.295626,-0.408748,R,True
2024,72,23657,33607,57264,0.413122,-0.173757,R,True
2024,73,24595,38390,62985,0.390490,-0.219020,R,True
2024,74,17577,31515,49092,0.358042,-0.283916,R,True
2024,75,22490,32907,55397,0.405979,-0.188043,R,True
2024,76,15738,40352,56090,0.280585,-0.438830,R,True
2024,77,15729,35555,51284,0.306704,-0.386592,R,True
2024,78,0,41369,41369,0.000000,-1.000000,R_uncontested,False
2024,79,14122,41502,55624,0.253883,-0.492234,R,True
2024,80,16394,48868,65262,0.251203,-0.497594,R,True
2024,81,13046,43757,56803,0.229671,-0.540658,R,True
2024,82,11825,45616,57441,0.205863,-0.588273,R,True
2024,83,14404,43407,57811,0.249157,-0.501687,R,True
2024,84,9410,50426,59836,0.157263,-0.685474,R,True
2024,85,11551,46524,58075,0.198898,-0.602204,R,True
2024,86,16927,37571,54498,0.310599,-0.378803,R,True
2024,87,13205,42897,56102,0.235375,-0.529250,R,True
2024,88,17762,35367,53129,0.334318,-0.331363,R,True
2024,89,24762,35148,59910,0.413320,-0.173360,R,True
2024,90,11314,37420,48734,0.232158,-0.535684,R,True
2024,91,9932,39096,49028,0.202578,-0.594844,R,True
2024,92,13966,35181,49147,0.284168,-0.431664,R,True
2024,93,0,43225,43225,0.000000,-1.000000,R_uncontested,False
2024,94,16568,37516,54084,0.306338,-0.387323,R,True
2024,95,16020,32958,48978,0.327086,-0.345829,R,True
2024,96,0,41434,41434,0.000000,-1.000000,R_uncontested,False
2024,97,0,35081,35081,0.000000,-1.000000,R_uncontested,False
2024,98,11557,35572,47129,0.245221,-0.509559,R,True
2024,99,20986,38184,59170,0.354673,-0.290654,R,True
2022,1,31494,0,31494,1.000000,1.000000,D_uncontested,False
2022,2,21475,0,21475,1.000000,1.000000,D_uncontested,False
2022,3,22756,5458,28214,0.806550,0.613100,D,True
2022,4,28135,22462,50597,0.556061,0.112121,D,True
2022,5,17429,17284,34713,0.502089,0.004177,D,True
2022,6,15431,11274,26705,0.577832,0.155664,D,True
2022,7,37060,0,37060,1.000000,1.000000,D_uncontested,False
2022,8,33436,15455,48891,0.683889,0.367777,D,True
2022,9,23320,0,23320,1.000000,1.000000,D_uncontested,False
2022,10,15286,17162,32448,0.471092,-0.057816,R,True
2022,11,28216,22151,50367,0.560208,0.120416,D,True
2022,12,0,29571,29571,0.000000,-1.000000,R_uncontested,False
2022,13,26228,8638,34866,0.752251,0.504503,D,True
2022,14,20269,16191,36460,0.555924,0.111849,D,True
2022,19,30488,18712,49200,0.619675,0.239350,D,True
2022,20,18904,0,18904,1.000000,1.000000,D_uncontested,False
2022,21,29205,10499,39704,0.735568,0.471136,D,True
2022,23,25683,24183,49866,0.515040,0.030081,D,True
2022,24,21764,9024,30788,0.706899,0.413798,D,True
2022,25,23195,6604,29799,0.778382,0.556764,D,True
2022,27,31203,24604,55807,0.559123,0.118247,D,True
2022,28,25891,23501,49392,0.524194,0.048388,D,True
2022,29,0,27256,27256,0.000000,-1.000000,R_uncontested,False
2022,30,13701,34356,48057,0.285099,-0.429802,R,True
2022,32,17573,20483,38056,0.461767,-0.076466,R,True
2022,33,23459,8064,31523,0.744187,0.488374,D,True
2022,34,27735,23813,51548,0.538042,0.076084,D,True
2022,36,20443,20905,41348,0.494413,-0.011173,R,True
2022,37,0,36121,36121,0.000000,-1.000000,R_uncontested,False
2022,38,20205,0,20205,1.000000,1.000000,D_uncontested,False
2022,39,19694,24805,44499,0.442572,-0.114857,R,True
2022,40,11877,30028,41905,0.283427,-0.433146,R,True
2022,43,21565,12045,33610,0.641625,0.283249,D,True
2022,45,16578,29389,45967,0.360650,-0.278700,R,True
2022,46,13674,26769,40443,0.338105,-0.323789,R,True
2022,47,11959,22133,34092,0.350786,-0.298428,R,True
2022,48,15327,34390,49717,0.308285,-0.383430,R,True
2022,49,16307,18806,35113,0.464415,-0.071170,R,True
2022,50,0,31502,31502,0.000000,-1.000000,R_uncontested,False
2022,51,0,30520,30520,0.000000,-1.000000,R_uncontested,False
2022,52,18150,23810,41960,0.432555,-0.134890,R,True
2022,53,21253,19536,40789,0.521047,0.042095,D,True
2022,54,17858,27912,45770,0.390168,-0.219664,R,True
2022,55,13167,39170,52337,0.251581,-0.496838,R,True
2022,56,19135,29241,48376,0.395547,-0.208905,R,True
2022,57,18695,31311,50006,0.373855,-0.252290,R,True
2022,60,0,36534,36534,0.000000,-1.000000,R_uncontested,False
2022,61,22120,31443,53563,0.412972,-0.174057,R,True
2022,62,17755,31810,49565,0.358216,-0.283567,R,True
2022,63,9275,29797,39072,0.237382,-0.525235,R,True
2022,64,21072,21847,42919,0.490971,-0.018057,R,True
2022,65,0,27274,27274,0.000000,-1.000000,R_uncontested,False
2022,66,17829,32557,50386,0.353848,-0.292303,R,True
2022,67,13418,31657,45075,0.297682,-0.404637,R,True
2022,68,0,30205,30205,0.000000,-1.000000,R_uncontested,False
2022,69,12439,33889,46328,0.268499,-0.463003,R,True
2022,70,17340,29303,46643,0.371760,-0.256480,R,True
2022,71,11895,29300,41195,0.288749,-0.422503,R,True
2022,72,21616,22693,44309,0.487847,-0.024307,R,True
2022,73,0,33247,33247,0.000000,-1.000000,R_uncontested,False
2022,74,13002,22394,35396,0.367330,-0.265341,R,True
2022,75,17261,25145,42406,0.407041,-0.185917,R,True
2022,76,0,33070,33070,0.000000,-1.000000,R_uncontested,False
2022,77,11823,26636,38459,0.307418,-0.385163,R,True
2022,78,0,30789,30789,0.000000,-1.000000,R_uncontested,False
2022,79,10193,29256,39449,0.258384,-0.483232,R,True
2022,80,0,38823,38823,0.000000,-1.000000,R_uncontested,False
2022,81,0,34309,34309,0.000000,-1.000000,R_uncontested,False
2022,82,8692,33605,42297,0.205499,-0.589002,R,True
2022,83,11304,30971,42275,0.267392,-0.465216,R,True
2022,84,7929,37105,45034,0.176067,-0.647866,R,True
2022,85,0,35781,35781,0.000000,-1.000000,R_uncontested,False
2022,86,12089,26604,38693,0.312434,-0.375132,R,True
2022,87,0,35333,35333,0.000000,-1.000000,R_uncontested,False
2022,88,12635,26609,39244,0.321960,-0.356080,R,True
2022,89,16304,26318,42622,0.382525,-0.234949,R,True
2022,90,8493,26246,34739,0.244480,-0.511039,R,True
2022,91,0,27987,27987,0.000000,-1.000000,R_uncontested,False
2022,92,0,27513,27513,0.000000,-1.000000,R_uncontested,False
2022,93,0,29496,29496,0.000000,-1.000000,R_uncontested,False
2022,94,14920,22716,37636,0.396429,-0.207142,R,True
2022,95,10293,30580,40873,0.251829,-0.496342,R,True
2022,96,11268,27940,39208,0.287390,-0.425219,R,True
2022,97,0,28383,28383,0.000000,-1.000000,R_uncontested,False
2022,98,0,27531,27531,0.000000,-1.000000,R_uncontested,False
2022,99,19082,29096,48178,0.396073,-0.207854,R,True
2020,13,33647,11621,45268,0.743284,0.486569,D,True
2020,28,35353,33039,68392,0.516917,0.033834,D,True
2020,30,0,42269,42269,0.000000,-1.000000,R_uncontested,False
2020,80,15933,50578,66511,0.239554,-0.520891,R,True
2020,83,0,42145,42145,0.000000,-1.000000,R_uncontested,False
2020,85,0,40825,40825,0.000000,-1.000000,R_uncontested,False
2020,86,16635,39510,56145,0.296286,-0.407427,R,True
2020,87,12977,41440,54417,0.238473,-0.523053,R,True
2020,88,19359,32823,52182,0.370990,-0.258020,R,True
2020,90,0,39779,39779,0.000000,-1.000000,R_uncontested,False
2020,93,0,43937,43937,0.000000,-1.000000,R_uncontested,False
2020,96,17104,37347,54451,0.314117,-0.371765,R,True
2020,97,16079,36924,53003,0.303360,-0.393280,R,True
2018,13,27620,7769,35389,0.780469,0.560937,D,True
2018,28,27611,27555,55166,0.500508,0.001015,D,True
2018,30,14886,33652,48538,0.306688,-0.386625,R,True
2018,80,12540,35889,48429,0.258936,-0.482128,R,True
2018,83,12195,27242,39437,0.309227,-0.381545,R,True
2018,85,10681,28608,39289,0.271857,-0.456285,R,True
2018,86,11563,28205,39768,0.290761,-0.418477,R,True
2018,87,10742,28564,39306,0.273292,-0.453417,R,True
2018,88,13482,26016,39498,0.341334,-0.317333,R,True
2018,90,14358,22570,36928,0.388811,-0.222379,R,True
2018,93,9805,28460,38265,0.256239,-0.487521,R,True
2018,96,22588,0,22588,1.000000,1.000000,D_uncontested,False
2018,97,12404,26678,39082,0.317384,-0.365232,R,True
