statewide_d_pct,d_seats,net_change_from_current,newly_flipped
40.0,23,-11,"1,2,3,4,5,6,7,8,9,13,16,18,20,21,22,24,25,26,33,38,41,42,43"
40.5,24,-10,11
41.0,26,-8,"19,58"
41.5,27,-7,28
42.0,29,-5,"27,34"
42.5,30,-4,53
43.0,31,-3,15
43.5,31,-3,
44.0,31,-3,
44.5,32,-2,14
45.0,34,0,"10,31"
45.5,34,0,
46.0,35,1,23
46.5,37,3,"36,49"
47.0,39,5,"35,52"
47.5,39,5,
48.0,39,5,
48.5,40,6,64
49.0,41,7,17
49.5,43,9,"39,60"
50.0,43,9,
50.5,45,11,"32,72"
51.0,47,13,"44,75"
51.5,47,13,
52.0,48,14,37
52.5,49,15,29
53.0,49,15,
53.5,50,16,89
54.0,50,16,
54.5,50,16,
55.0,52,18,"68,73"
