district,sigma_i,sigma_source
18,0.046243,prior_only
20,0.046243,prior_only
22,0.046243,prior_only
25,0.045498,shrunk_2pt
3,0.046243,prior_only
1,0.046243,prior_only
13,0.023279,shrunk_4pt
2,0.046243,prior_only
21,0.044473,shrunk_2pt
38,0.046243,prior_only
33,0.046243,prior_only
24,0.039317,shrunk_2pt
7,0.046243,prior_only
26,0.046243,prior_only
9,0.046243,prior_only
42,0.046243,prior_only
8,0.041494,shrunk_2pt
43,0.041412,shrunk_2pt
41,0.046243,prior_only
5,0.046243,prior_only
16,0.046243,prior_only
6,0.039880,shrunk_2pt
4,0.039296,shrunk_2pt
11,0.041946,shrunk_2pt
58,0.046243,prior_only
19,0.043169,shrunk_2pt
28,0.028988,shrunk_4pt
34,0.038765,shrunk_2pt
27,0.038695,shrunk_2pt
53,0.041921,shrunk_2pt
15,0.046243,prior_only
14,0.039902,shrunk_2pt
10,0.042291,shrunk_2pt
31,0.046243,prior_only
23,0.039056,shrunk_2pt
36,0.039323,shrunk_2pt
49,0.038953,shrunk_2pt
52,0.038725,shrunk_2pt
35,0.046243,prior_only
64,0.043845,shrunk_2pt
17,0.046243,prior_only
60,0.046243,prior_only
39,0.040479,shrunk_2pt
72,0.048317,shrunk_2pt
32,0.040893,shrunk_2pt
44,0.046243,prior_only
75,0.038692,shrunk_2pt
37,0.046243,prior_only
29,0.046243,prior_only
89,0.040486,shrunk_2pt
73,0.046243,prior_only
68,0.046243,prior_only
57,0.038690,shrunk_2pt
59,0.046243,prior_only
70,0.039007,shrunk_2pt
65,0.046243,prior_only
56,0.039545,shrunk_2pt
74,0.038857,shrunk_2pt
45,0.039497,shrunk_2pt
61,0.040506,shrunk_2pt
54,0.042460,shrunk_2pt
66,0.038811,shrunk_2pt
99,0.041881,shrunk_2pt
47,0.040759,shrunk_2pt
50,0.046243,prior_only
48,0.038704,shrunk_2pt
95,0.048440,shrunk_2pt
46,0.038692,shrunk_2pt
88,0.026258,shrunk_4pt
62,0.038787,shrunk_2pt
86,0.020428,shrunk_4pt
94,0.052100,shrunk_2pt
67,0.046243,prior_only
92,0.046243,prior_only
96,0.040051,shrunk_2pt
77,0.038691,shrunk_2pt
51,0.046243,prior_only
76,0.046243,prior_only
71,0.038781,shrunk_2pt
30,0.028066,shrunk_3pt
97,0.039069,shrunk_2pt
12,0.046243,prior_only
79,0.038729,shrunk_2pt
81,0.046243,prior_only
55,0.039715,shrunk_2pt
83,0.036132,shrunk_3pt
90,0.077153,shrunk_3pt
78,0.046243,prior_only
98,0.046243,prior_only
69,0.041162,shrunk_2pt
93,0.046243,prior_only
63,0.038806,shrunk_2pt
80,0.026611,shrunk_3pt
40,0.044010,shrunk_2pt
87,0.030852,shrunk_3pt
91,0.046243,prior_only
82,0.038690,shrunk_2pt
85,0.047910,shrunk_2pt
84,0.039369,shrunk_2pt
