district,trend_slope,trend_r2,trend_shift,trend_dir,n_years,lean_earliest,lean_latest
1,0.024752,0.741300,0.346500,trending_d,8,0.082100,0.359500
2,0.019804,0.664500,0.277300,trending_d,8,0.082100,0.305600
3,0.024638,0.707100,0.344900,trending_d,8,0.082100,0.349100
4,0.003940,0.329000,0.055200,trending_d,8,0.082100,0.142800
5,0.004002,0.855000,0.056000,trending_d,8,0.082100,0.140700
6,0.003143,0.776300,0.044000,trending_d,8,0.082100,0.120000
7,0.015300,0.883300,0.214200,trending_d,8,0.082100,0.260600
8,0.010671,0.887200,0.149400,trending_d,8,0.082100,0.212600
9,0.013043,0.780200,0.182600,trending_d,8,0.082100,0.233400
10,-0.003300,0.404700,-0.046200,trending_r,8,0.082100,0.053900
11,0.002495,0.128200,0.034900,trending_d,8,0.082100,0.125400
12,-0.007132,0.797200,-0.099900,trending_r,8,-0.081800,-0.165200
13,0.012545,0.732300,0.175600,trending_d,8,0.160500,0.300700
14,-0.010078,0.735900,-0.141100,trending_r,8,0.160500,0.057400
15,-0.008233,0.675200,-0.115300,trending_r,8,0.160500,0.079600
16,-0.002469,0.116300,-0.034600,trending_r,8,0.160500,0.148900
17,-0.013087,0.566200,-0.183200,trending_r,8,0.160500,0.027700
18,0.023830,0.711500,0.333600,trending_d,8,0.160500,0.431900
19,-0.005502,0.331500,-0.077000,trending_r,8,0.160500,0.113400
20,0.022451,0.631000,0.314300,trending_d,8,0.160500,0.415500
21,0.013217,0.732000,0.185000,trending_d,8,0.160500,0.318400
22,0.020478,0.666700,0.286700,trending_d,8,0.160500,0.402800
23,0.004778,0.807000,0.066900,trending_d,8,-0.007800,0.056600
24,0.023046,0.765500,0.322600,trending_d,8,0.013000,0.274200
25,0.032468,0.763000,0.454600,trending_d,8,0.013000,0.376000
26,0.021076,0.865000,0.295100,trending_d,8,0.013000,0.253900
27,0.007283,0.761600,0.102000,trending_d,8,0.013000,0.109600
28,0.007969,0.869000,0.111600,trending_d,8,0.013000,0.120100
29,-0.002883,0.196800,-0.040400,trending_r,8,0.013000,-0.000000
30,-0.013435,0.458900,-0.188100,trending_r,8,0.013000,-0.118500
31,-0.001031,0.131800,-0.014400,trending_r,8,0.063500,0.053700
32,-0.006638,0.813800,-0.092900,trending_r,8,0.063500,-0.010500
33,0.018131,0.646500,0.253800,trending_d,8,0.063500,0.258000
34,0.002396,0.546600,0.033500,trending_d,8,0.063500,0.096900
35,0.002857,0.709600,0.040000,trending_d,8,0.011000,0.049200
36,0.004532,0.631400,0.063400,trending_d,8,0.001800,0.063900
37,-0.000584,0.010300,-0.008200,trending_r,8,0.001800,0.008400
38,0.026594,0.697800,0.372300,trending_d,8,0.001800,0.299900
39,0.001271,0.262300,0.017800,trending_d,8,0.001800,0.029200
40,-0.010610,0.639500,-0.148500,trending_r,8,-0.081800,-0.203300
41,0.001399,0.476300,0.019600,trending_d,8,0.121100,0.145400
42,0.006950,0.331500,0.097300,trending_d,8,0.121100,0.200800
43,0.002303,0.451500,0.032200,trending_d,8,0.121100,0.149400
44,-0.008252,0.574600,-0.115500,trending_r,8,0.089700,0.004900
45,0.006903,0.865800,0.096600,trending_d,8,-0.132400,-0.045500
46,0.003187,0.617100,0.044600,trending_d,8,-0.132400,-0.095900
47,0.005465,0.802200,0.076500,trending_d,8,-0.132400,-0.067500
48,-0.005697,0.697400,-0.079800,trending_r,8,-0.003100,-0.072900
49,0.004395,0.464800,0.061500,trending_d,8,-0.003100,0.042400
50,-0.006172,0.863800,-0.086400,trending_r,8,-0.003100,-0.081300
51,-0.011182,0.810000,-0.156500,trending_r,8,-0.010400,-0.164000
52,-0.001478,0.276600,-0.020700,trending_r,8,0.054400,0.044100
53,0.001840,0.225900,0.025800,trending_d,8,0.054400,0.076500
54,-0.007402,0.804600,-0.103600,trending_r,8,0.002800,-0.082200
55,0.002298,0.259300,0.032200,trending_d,8,-0.195500,-0.166200
56,0.013123,0.925100,0.183700,trending_d,8,-0.195500,-0.042300
57,-0.001745,0.347800,-0.024400,trending_r,8,-0.033100,-0.044100
58,-0.006096,0.651900,-0.085300,trending_r,8,0.179300,0.083900
59,-0.018243,0.866300,-0.255400,trending_r,8,0.167900,-0.060800
60,0.014860,0.918500,0.208000,trending_d,8,-0.143100,0.045100
61,0.007096,0.944700,0.099300,trending_d,8,-0.140100,-0.044800
62,0.007692,0.915200,0.107700,trending_d,8,-0.190000,-0.094000
63,-0.002434,0.224100,-0.034100,trending_r,8,-0.172200,-0.199200
64,-0.010729,0.928300,-0.150200,trending_r,8,0.149300,0.000200
65,-0.015368,0.872600,-0.215200,trending_r,8,0.115200,-0.079800
66,0.001507,0.502800,0.021100,trending_d,8,-0.085300,-0.060000
67,-0.001066,0.282100,-0.014900,trending_r,8,-0.111000,-0.121200
68,0.003981,0.963200,0.055700,trending_d,8,-0.093000,-0.041100
69,-0.010418,0.774700,-0.145900,trending_r,8,-0.080400,-0.198400
70,0.006640,0.844000,0.093000,trending_d,8,-0.121900,-0.033700
71,-0.001743,0.479700,-0.024400,trending_r,8,-0.126500,-0.146300
72,-0.002397,0.401700,-0.033600,trending_r,8,0.014600,-0.021500
73,0.004939,0.955300,0.069100,trending_d,8,-0.099000,-0.031400
74,-0.003501,0.947800,-0.049000,trending_r,8,-0.030200,-0.075600
75,0.000426,0.078500,0.006000,stable,8,-0.012500,0.002500
76,-0.006146,0.797500,-0.086000,trending_r,8,-0.070300,-0.153600
77,-0.002014,0.687800,-0.028200,trending_r,8,-0.110800,-0.141200
78,-0.003731,0.655700,-0.052200,trending_r,8,-0.130700,-0.179000
79,-0.011646,0.864900,-0.163000,trending_r,8,-0.031000,-0.186100
80,-0.000739,0.061400,-0.010300,trending_r,8,-0.178300,-0.190800
81,-0.005931,0.795000,-0.083000,trending_r,8,-0.112500,-0.175500
82,-0.006171,0.638500,-0.086400,trending_r,8,-0.141000,-0.230400
83,-0.001333,0.345700,-0.018700,trending_r,8,-0.160000,-0.172100
84,-0.003907,0.348200,-0.054700,trending_r,8,-0.203000,-0.271900
85,-0.005190,0.656100,-0.072700,trending_r,8,-0.162000,-0.234500
86,0.001203,0.350600,0.016800,trending_d,8,-0.119600,-0.103400
87,-0.008262,0.791300,-0.115700,trending_r,8,-0.110800,-0.213200
88,-0.005758,0.802100,-0.080600,trending_r,8,-0.052200,-0.111300
89,-0.005132,0.757700,-0.071800,trending_r,8,0.021500,-0.032600
90,-0.015298,0.830800,-0.214200,trending_r,8,-0.012100,-0.212500
91,-0.012309,0.878000,-0.172300,trending_r,8,-0.069400,-0.230400
92,-0.011167,0.880300,-0.156300,trending_r,8,0.001300,-0.149800
93,-0.012866,0.838800,-0.180100,trending_r,8,-0.042300,-0.218500
94,-0.011281,0.802800,-0.157900,trending_r,8,0.018200,-0.138900
95,-0.011631,0.755900,-0.162800,trending_r,8,0.052700,-0.108400
96,-0.015525,0.733600,-0.217300,trending_r,8,0.051600,-0.163900
97,-0.009402,0.855200,-0.131600,trending_r,8,-0.043200,-0.166500
98,-0.005528,0.695700,-0.077400,trending_r,8,-0.120800,-0.200700
99,-0.001440,0.723300,-0.020200,trending_r,8,-0.053700,-0.071400
