priority_rank,district,baseline_wp,invested_wp,marginal_gain,cumulative_expected_seats,cumulative_prob_target
1,52,0.6448,0.7355,0.0907,39.98,0.5745
2,39,0.3755,0.472,0.0965,40.08,0.5942
3,49,0.6713,0.7581,0.0868,40.16,0.6026
4,36,0.6794,0.7644,0.0849,40.25,0.6263
5,64,0.4568,0.5476,0.0908,40.34,0.6268
6,17,0.4337,0.5196,0.086,40.43,0.6452
7,32,0.2928,0.3818,0.089,40.52,0.6635
8,60,0.3987,0.4838,0.0852,40.6,0.6776
9,35,0.6146,0.6942,0.0795,40.68,0.6953
10,75,0.2316,0.3174,0.0858,40.77,0.7074
11,72,0.3278,0.4055,0.0777,40.84,0.7266
12,44,0.2842,0.3616,0.0774,40.92,0.7417
13,31,0.7417,0.8064,0.0647,40.99,0.7581
14,37,0.2029,0.2693,0.0664,41.05,0.7556
15,29,0.1774,0.2392,0.0617,41.11,0.7652
