statewide_d_pct,mean_d_seats,median_d_seats,p10_seats,p25_seats,p75_seats,p90_seats,std_seats,prob_hold_34,prob_reach_40,prob_majority
40.0,25.2,25,23,24,26,28,1.93,0.0,0.0,0.0
40.5,26.0,26,24,25,27,28,1.96,0.0002,0.0,0.0
41.0,26.8,27,24,25,28,29,2.01,0.0006,0.0,0.0
41.5,27.7,28,25,26,29,30,2.0,0.0023,0.0,0.0
42.0,28.6,29,26,27,30,31,2.04,0.0088,0.0,0.0
42.5,29.5,29,27,28,31,32,2.08,0.0256,0.0,0.0
43.0,30.4,30,28,29,32,33,2.09,0.0664,0.0001,0.0
43.5,31.3,31,29,30,33,34,2.1,0.1388,0.0,0.0
44.0,32.3,32,30,31,34,35,2.1,0.2761,0.0003,0.0
44.5,33.1,33,30,32,35,36,2.13,0.4308,0.0013,0.0
45.0,34.1,34,31,33,36,37,2.14,0.6048,0.0054,0.0
45.5,35.1,35,32,34,37,38,2.15,0.77,0.0213,0.0
46.0,36.0,36,33,35,37,39,2.14,0.8784,0.0492,0.0
46.5,37.0,37,34,36,38,40,2.14,0.949,0.118,0.0
47.0,38.0,38,35,37,39,41,2.14,0.9851,0.2344,0.0
47.5,38.9,39,36,37,40,42,2.16,0.9954,0.391,0.0
48.0,39.9,40,37,38,41,43,2.19,0.9987,0.5643,0.0
48.5,40.8,41,38,39,42,44,2.15,0.9998,0.7283,0.0
49.0,41.9,42,39,40,43,45,2.14,1.0,0.8657,0.0001
49.5,42.8,43,40,41,44,46,2.18,1.0,0.9401,0.0015
50.0,43.8,44,41,42,45,47,2.18,1.0,0.9796,0.0055
50.5,44.9,45,42,43,46,48,2.24,1.0,0.9927,0.0198
51.0,45.9,46,43,44,47,49,2.23,1.0,0.9993,0.0523
51.5,47.0,47,44,45,48,50,2.24,1.0,0.9998,0.1259
52.0,48.0,48,45,46,50,51,2.27,1.0,0.9999,0.2518
52.5,49.1,49,46,48,51,52,2.29,1.0,1.0,0.4288
53.0,50.2,50,47,49,52,53,2.33,1.0,1.0,0.6087
53.5,51.4,51,48,50,53,54,2.36,1.0,1.0,0.788
54.0,52.5,52,49,51,54,56,2.38,1.0,1.0,0.8963
54.5,53.7,54,51,52,55,57,2.38,1.0,1.0,0.962
55.0,54.9,55,52,53,56,58,2.45,1.0,1.0,0.9882
